Stop_Number,Municipality,Stop_Avg_Daily_Boardings_MF,Stop_Avg_Daily_Alightings_MF,Stop_Avg_Daily_Boardings_Sat,Stop_Avg_Daily_Alightings_Sat,Stop_Avg_Daily_Boardings_SunHol,Stop_Avg_Daily_Alightings_SunHol,TSPR_Year,Stop_Latitude,Stop_Longitude
50724,Vancouver,107,142,101,125,73,98,2022,49.269899,-123.05646
50726,Vancouver,122,153,112,105,58,87,2022,49.273616,-123.056442
50735,Vancouver,89,367,88,331,63,220,2022,49.281413,-123.056378
50737,Vancouver,216,437,158,346,144,272,2022,49.234424,-123.185469
50947,Vancouver,878,1145,645,879,483,701,2022,49.281059,-123.055828
51004,Vancouver,48,85,219,381,126,190,2022,49.276811,-123.124629
51006,Vancouver,18,37,89,178,50,99,2022,49.278835,-123.121579
54830,Vancouver,89,10,331,26,168,25,2022,49.282906,-123.119595
54831,Vancouver,119,15,464,58,214,30,2022,49.281831,-123.121239
50723,Vancouver,56,74,43,62,37,53,2022,49.266968,-123.056457
50722,Vancouver,37,36,37,31,25,25,2022,49.265123,-123.056462
50721,Vancouver,219,76,130,89,125,82,2022,49.262477,-123.056433
50720,Vancouver,15,26,14,25,11,20,2022,49.260339,-123.056471
50718,Vancouver,50,74,63,77,34,52,2022,49.257382,-123.056473
50717,Vancouver,8,18,10,16,8,14,2022,49.255356,-123.056484
50716,Vancouver,32,29,27,24,25,21,2022,49.252691,-123.056482
50715,Vancouver,32,0,38,0,17,0,2022,49.251051,-123.056489
50689,Vancouver,551,629,485,539,433,500,2022,49.280463,-123.100688
50687,Vancouver,51,65,43,45,35,30,2022,49.250268,-123.056774
50686,Vancouver,13,24,15,19,9,26,2022,49.252026,-123.056768
50685,Vancouver,26,13,20,12,14,9,2022,49.254756,-123.056762
50683,Vancouver,80,220,104,134,69,107,2022,49.261831,-123.056764
50680,Vancouver,22,47,24,40,10,28,2022,49.265535,-123.056743
50679,Vancouver,30,29,34,25,23,20,2022,49.267411,-123.056736
50678,Vancouver,108,101,110,81,73,61,2022,49.269138,-123.05673
50675,Vancouver,147,129,105,112,50,56,2022,49.27362,-123.056724
50671,Vancouver,310,146,285,119,205,101,2022,49.280782,-123.056725
50669,Vancouver,172,91,142,93,94,68,2022,49.284388,-123.05668
50668,Vancouver,18,22,17,22,8,15,2022,49.266385,-123.185659
50640,Vancouver,535,618,466,555,390,443,2022,49.234593,-123.18575
50589,Vancouver,69,170,54,158,50,121,2022,49.268649,-123.182096
50588,Vancouver,66,121,58,102,29,83,2022,49.268578,-123.178075
50587,Vancouver,55,94,45,75,20,63,2022,49.268528,-123.174217
50585,Vancouver,340,363,237,224,144,153,2022,49.268459,-123.168863
50584,Vancouver,72,129,49,130,40,104,2022,49.268401,-123.164962
50583,Vancouver,183,234,158,212,157,201,2022,49.26833,-123.160246
50581,Vancouver,26,51,31,74,28,49,2022,49.268224,-123.153127
50580,Vancouver,120,269,147,308,111,218,2022,49.268169,-123.150944
50579,Vancouver,326,709,276,584,202,402,2022,49.268106,-123.146085
50578,Vancouver,354,586,412,522,354,340,2022,49.268039,-123.141569
50537,Vancouver,226,747,226,675,195,449,2022,49.266837,-123.139046
50536,Vancouver,815,1423,613,1042,437,463,2022,49.275854,-123.128375
50535,Vancouver,1205,1727,962,1441,858,1124,2022,49.276786,-123.126905
50526,Vancouver,1921,622,1259,460,938,414,2022,49.284039,-123.115939
50516,Vancouver,204,123,156,95,128,81,2022,49.283223,-123.098134
50515,Vancouver,232,115,188,114,138,97,2022,49.283146,-123.093725
50514,Vancouver,330,123,144,66,115,60,2022,49.283076,-123.089941
50513,Vancouver,55,54,44,41,27,29,2022,49.28303,-123.087522
50512,Vancouver,8,10,8,9,5,5,2022,49.282792,-123.081659
50508,Vancouver,60,119,62,104,40,84,2022,49.283837,-123.070862
50496,Vancouver,229,85,239,88,197,55,2022,49.2848,-123.065973
50495,Vancouver,199,55,158,48,138,33,2022,49.284888,-123.063271
50494,Vancouver,228,109,180,96,143,66,2022,49.284871,-123.060143
50493,Vancouver,165,254,124,196,106,167,2022,49.284885,-123.057411
50437,Vancouver,60,155,63,119,38,124,2022,49.284738,-123.059274
50436,Vancouver,92,196,66,136,48,120,2022,49.284754,-123.061245
50435,Vancouver,119,303,131,348,93,268,2022,49.284771,-123.065065
50433,Vancouver,124,77,74,80,64,52,2022,49.283885,-123.069837
50431,Vancouver,24,72,19,46,25,46,2022,49.283029,-123.076625
50429,Vancouver,7,31,8,28,5,27,2022,49.282672,-123.081697
50427,Vancouver,99,371,75,221,58,214,2022,49.282067,-123.091063
50426,Vancouver,84,330,73,284,74,252,2022,49.282136,-123.094846
50425,Vancouver,451,386,366,332,314,270,2022,49.282203,-123.098943
50403,Vancouver,551,250,618,270,474,195,2022,49.266843,-123.137905
50401,Vancouver,533,303,500,399,340,288,2022,49.267853,-123.140145
50400,Vancouver,811,301,743,260,442,206,2022,49.26793,-123.145082
50398,Vancouver,48,29,58,31,39,39,2022,49.268041,-123.152371
50397,Vancouver,121,97,119,87,82,89,2022,49.268115,-123.156884
50396,Vancouver,242,230,232,233,203,177,2022,49.268188,-123.159306
50394,Vancouver,148,81,152,58,89,60,2022,49.268236,-123.164123
50393,Vancouver,526,404,425,281,273,193,2022,49.268274,-123.167779
50389,Vancouver,146,75,131,55,108,47,2022,49.268471,-123.181214
50372,Vancouver,0,51,0,45,0,43,2022,49.238349,-123.185425
50371,Vancouver,5,43,0,46,0,27,2022,49.240149,-123.185397
50370,Vancouver,15,42,10,58,7,28,2022,49.242056,-123.185368
50369,Vancouver,28,74,16,59,11,39,2022,49.243962,-123.185351
50368,Vancouver,58,124,48,108,42,73,2022,49.245928,-123.185332
50367,Vancouver,34,121,34,109,23,80,2022,49.247813,-123.185322
50366,Vancouver,30,97,26,89,11,72,2022,49.249684,-123.185302
50364,Vancouver,60,228,65,177,37,131,2022,49.253446,-123.18526
50362,Vancouver,250,406,213,307,140,242,2022,49.257067,-123.185245
50361,Vancouver,9,52,10,46,8,41,2022,49.258657,-123.184116
50360,Vancouver,0,12,7,16,0,8,2022,49.259981,-123.184374
50359,Vancouver,17,10,10,16,9,10,2022,49.261267,-123.186069
50356,Vancouver,16,12,14,21,10,14,2022,49.266642,-123.185897
50355,Vancouver,192,128,224,180,213,119,2022,49.268214,-123.18585
50354,Vancouver,646,526,576,467,395,372,2022,49.268538,-123.185205
50314,Vancouver,158,315,177,336,132,242,2022,49.263872,-123.185744
50313,Vancouver,9,10,13,24,9,7,2022,49.261926,-123.185815
50312,Vancouver,27,8,38,7,20,0,2022,49.260126,-123.184213
50310,Vancouver,441,217,305,181,264,140,2022,49.256755,-123.185003
50308,Vancouver,136,63,106,62,82,45,2022,49.253177,-123.18504
50307,Vancouver,400,334,237,232,168,178,2022,49.250494,-123.185062
50305,Vancouver,102,50,95,39,75,28,2022,49.247382,-123.185094
50304,Vancouver,127,65,99,53,81,37,2022,49.245532,-123.185125
50303,Vancouver,75,40,54,31,37,12,2022,49.244597,-123.185135
50302,Vancouver,51,30,59,19,31,10,2022,49.241702,-123.185172
50301,Vancouver,35,16,49,9,29,11,2022,49.239851,-123.185157
50300,Vancouver,35,0,44,0,30,0,2022,49.238112,-123.185183
50299,Vancouver,41,0,37,0,31,0,2022,49.236747,-123.185216
50298,Vancouver,322,9,288,14,200,0,2022,49.235129,-123.185234
50229,Vancouver,1171,433,1000,397,899,317,2022,49.28081,-123.099812
50220,Vancouver,1535,888,1250,906,1003,713,2022,49.277584,-123.125372
50096,Vancouver,853,927,852,755,749,702,2022,49.284575,-123.114596
50095,Vancouver,754,946,607,731,500,597,2022,49.283818,-123.113429
50094,Vancouver,393,664,498,492,296,444,2022,49.282472,-123.11137
50093,Vancouver,454,737,443,647,377,492,2022,49.28129,-123.108213
50091,Vancouver,376,437,411,459,310,398,2022,49.280707,-123.104998
50036,Vancouver,362,223,314,266,270,168,2022,49.283765,-123.109649
50035,Vancouver,1821,1120,1610,1310,1362,1082,2022,49.284786,-123.111191
50034,Vancouver,100,529,83,442,58,370,2022,49.285553,-123.11335
61215,Vancouver,168,811,157,584,124,425,2022,49.274278,-123.121876
61073,Vancouver,413,81,351,28,268,61,2022,49.277999,-123.115404
60423,Vancouver,426,44,402,74,346,68,2022,49.2892,-123.132046
60302,Vancouver,224,494,152,515,186,296,2022,49.280182,-123.111842
60116,Vancouver,57,188,87,365,32,124,2022,49.276918,-123.125976
60104,Vancouver,5,170,22,184,15,74,2022,49.278318,-123.114655
60103,Vancouver,61,81,63,84,20,112,2022,49.276256,-123.117748
60102,Vancouver,92,37,62,28,83,37,2022,49.275952,-123.118424
59860,Vancouver,34,82,25,99,8,74,2022,49.275982,-123.124529
59420,Vancouver,114,33,169,37,33,13,2022,49.283478,-123.136106
50638,Vancouver,181,95,173,114,116,61,2022,49.280147,-123.13096
50637,Vancouver,185,75,203,154,108,46,2022,49.28144,-123.132973
50636,Vancouver,200,71,212,119,58,51,2022,49.282579,-123.13477
50635,Vancouver,110,11,68,10,41,7,2022,49.284219,-123.13726
50634,Vancouver,434,87,529,73,173,29,2022,49.285009,-123.13847
50633,Vancouver,650,373,909,566,523,260,2022,49.286705,-123.141124
50632,Vancouver,86,374,94,584,52,228,2022,49.287773,-123.141166
50631,Vancouver,191,419,265,594,93,259,2022,49.288522,-123.140021
50630,Vancouver,126,510,106,356,47,222,2022,49.289924,-123.137908
50629,Vancouver,165,510,150,500,86,643,2022,49.29124,-123.135926
50628,Vancouver,65,572,83,554,61,591,2022,49.289693,-123.132542
50627,Vancouver,49,363,107,335,45,281,2022,49.288152,-123.130152
50626,Vancouver,202,458,208,484,152,343,2022,49.286249,-123.127216
50624,Vancouver,427,199,518,179,356,128,2022,49.283556,-123.123086
50614,Vancouver,297,280,221,459,240,197,2022,49.285774,-123.126771
50611,Vancouver,476,75,629,127,544,64,2022,49.29023,-123.133644
50610,Vancouver,509,227,466,201,353,136,2022,49.290911,-123.136163
50607,Vancouver,888,643,1301,898,551,529,2022,49.287084,-123.141411
50189,Vancouver,45,107,60,88,25,87,2022,49.283796,-123.11242
50097,Vancouver,232,188,260,161,188,140,2022,49.285523,-123.116055
50096,Vancouver,853,927,852,755,749,702,2022,49.284575,-123.114596
50095,Vancouver,754,946,607,731,500,597,2022,49.283818,-123.113429
50094,Vancouver,393,664,498,492,296,444,2022,49.282472,-123.11137
50081,Vancouver,610,238,555,321,456,233,2022,49.280808,-123.111146
50080,Vancouver,741,675,577,494,479,447,2022,49.281799,-123.110618
50078,Vancouver,798,616,710,663,651,513,2022,49.283753,-123.113589
50077,Vancouver,1234,1006,980,932,848,765,2022,49.284791,-123.115231
50076,Vancouver,437,407,267,410,290,354,2022,49.286121,-123.117245
50074,Vancouver,179,189,120,260,136,102,2022,49.278793,-123.128901
50053,Vancouver,122,619,110,676,97,414,2022,49.28546,-123.138909
50052,Vancouver,36,189,22,142,16,118,2022,49.283898,-123.136507
50051,Vancouver,49,205,58,161,32,163,2022,49.283006,-123.135121
50050,Vancouver,92,483,163,461,79,323,2022,49.282009,-123.133574
50049,Vancouver,111,460,83,364,59,267,2022,49.280756,-123.131638
50048,Vancouver,218,395,112,234,138,299,2022,49.279449,-123.129617
50043,Vancouver,4434,143,3981,108,3061,85,2022,49.285306,-123.119982
50031,Vancouver,85,3829,66,2605,50,2236,2022,49.284688,-123.120503
50030,Vancouver,135,1516,110,1238,69,945,2022,49.283593,-123.12214
50026,Vancouver,183,219,170,125,150,199,2022,49.278073,-123.127493
50025,Vancouver,551,194,623,175,465,126,2022,49.277437,-123.126514
50024,Vancouver,206,100,152,94,139,85,2022,49.276179,-123.124555
50023,Vancouver,1353,147,1053,102,921,76,2022,49.274863,-123.122521
50011,Vancouver,118,258,149,280,80,147,2022,49.27755,-123.126971
61933,Vancouver,38,81,41,52,20,42,2022,49.282052,-123.086717
61930,Vancouver,44,32,38,24,20,25,2022,49.283161,-123.076463
61522,Vancouver,144,61,442,271,235,120,2022,49.277974,-123.127034
61519,Vancouver,128,74,336,373,191,247,2022,49.282782,-123.115596
61293,Vancouver,1650,4237,1372,3701,1063,2771,2022,49.282317,-123.118291
61292,Vancouver,1758,465,1748,503,1309,425,2022,49.28172,-123.119373
61074,Vancouver,103,197,63,161,67,138,2022,49.282699,-123.099733
60993,Vancouver,571,1679,418,1075,396,906,2022,49.283461,-123.116549
60980,Vancouver,3686,1022,3096,944,2241,729,2022,49.28266,-123.117951
60336,Vancouver,68,120,44,74,32,56,2022,49.28202,-123.089076
60277,Vancouver,32,56,117,199,79,122,2022,49.28102,-123.11824
58593,Vancouver,1834,1483,1254,1183,831,835,2022,49.276487,-123.127092
58321,Vancouver,36,6,161,35,116,20,2022,49.284055,-123.11788
58313,Vancouver,564,1415,391,869,304,680,2022,49.284493,-123.114994
58299,Vancouver,72,135,57,114,91,114,2022,49.268301,-123.158111
58144,Vancouver,643,1761,494,2106,411,1610,2022,49.280784,-123.120537
57938,UBC/UEL,54,19,64,16,46,10,2022,49.266503,-123.237822
54832,Vancouver,72,18,229,84,118,51,2022,49.279698,-123.124449
54831,Vancouver,119,15,464,58,214,30,2022,49.281831,-123.121239
54830,Vancouver,89,10,331,26,168,25,2022,49.282906,-123.119595
51006,Vancouver,18,37,89,178,50,99,2022,49.278835,-123.121579
51004,Vancouver,48,85,219,381,126,190,2022,49.276811,-123.124629
50689,Vancouver,551,629,485,539,433,500,2022,49.280463,-123.100688
50604,UBC/UEL,14,195,13,292,9,205,2022,49.267024,-123.239311
50603,UBC/UEL,58,140,43,171,26,141,2022,49.265815,-123.235541
50602,UBC/UEL,15,69,19,66,13,47,2022,49.263693,-123.229837
50601,UBC/UEL,88,45,60,47,38,62,2022,49.264016,-123.215915
50600,UBC/UEL,13,21,22,31,8,18,2022,49.265146,-123.215302
50598,Vancouver,49,38,48,54,32,57,2022,49.268693,-123.215183
50596,Vancouver,21,23,17,35,12,34,2022,49.269083,-123.209399
50595,Vancouver,27,31,17,32,14,23,2022,49.269028,-123.206426
50594,Vancouver,63,143,91,132,41,101,2022,49.268604,-123.200584
50593,Vancouver,0,18,15,23,28,37,2022,49.268917,-123.197836
50591,Vancouver,15,57,24,46,17,60,2022,49.268794,-123.191056
50590,Vancouver,446,467,422,317,349,221,2022,49.26871,-123.186254
50589,Vancouver,69,170,54,158,50,121,2022,49.268649,-123.182096
50588,Vancouver,66,121,58,102,29,83,2022,49.268578,-123.178075
50587,Vancouver,55,94,45,75,20,63,2022,49.268528,-123.174217
50585,Vancouver,340,363,237,224,144,153,2022,49.268459,-123.168863
50584,Vancouver,72,129,49,130,40,104,2022,49.268401,-123.164962
50583,Vancouver,183,234,158,212,157,201,2022,49.26833,-123.160246
50581,Vancouver,26,51,31,74,28,49,2022,49.268224,-123.153127
50580,Vancouver,120,269,147,308,111,218,2022,49.268169,-123.150944
50579,Vancouver,326,709,276,584,202,402,2022,49.268106,-123.146085
50578,Vancouver,354,586,412,522,354,340,2022,49.268039,-123.141569
50537,Vancouver,226,747,226,675,195,449,2022,49.266837,-123.139046
50536,Vancouver,815,1423,613,1042,437,463,2022,49.275854,-123.128375
50535,Vancouver,1205,1727,962,1441,858,1124,2022,49.276786,-123.126905
50526,Vancouver,1921,622,1259,460,938,414,2022,49.284039,-123.115939
50516,Vancouver,204,123,156,95,128,81,2022,49.283223,-123.098134
50515,Vancouver,232,115,188,114,138,97,2022,49.283146,-123.093725
50514,Vancouver,330,123,144,66,115,60,2022,49.283076,-123.089941
50513,Vancouver,55,54,44,41,27,29,2022,49.28303,-123.087522
50512,Vancouver,8,10,8,9,5,5,2022,49.282792,-123.081659
50508,Vancouver,60,119,62,104,40,84,2022,49.283837,-123.070862
50496,Vancouver,229,85,239,88,197,55,2022,49.2848,-123.065973
50495,Vancouver,199,55,158,48,138,33,2022,49.284888,-123.063271
50494,Vancouver,228,109,180,96,143,66,2022,49.284871,-123.060143
50493,Vancouver,165,254,124,196,106,167,2022,49.284885,-123.057411
50492,Vancouver,22,0,22,0,12,0,2022,49.286276,-123.056672
50491,Vancouver,84,0,49,0,46,7,2022,49.288026,-123.05666
50490,Vancouver,72,0,55,0,44,0,2022,49.288801,-123.052418
50489,Vancouver,77,5,68,6,52,0,2022,49.28882,-123.047415
50445,Vancouver,148,141,165,148,127,124,2022,49.287774,-123.044683
50443,Vancouver,0,73,0,51,0,51,2022,49.288617,-123.048823
50442,Vancouver,0,54,0,42,0,43,2022,49.288627,-123.051421
50440,Vancouver,0,76,0,35,0,42,2022,49.288013,-123.056367
50438,Vancouver,99,81,73,70,47,45,2022,49.285176,-123.05639
50437,Vancouver,60,155,63,119,38,124,2022,49.284738,-123.059274
50436,Vancouver,92,196,66,136,48,120,2022,49.284754,-123.061245
50435,Vancouver,119,303,131,348,93,268,2022,49.284771,-123.065065
50433,Vancouver,124,77,74,80,64,52,2022,49.283885,-123.069837
50431,Vancouver,24,72,19,46,25,46,2022,49.283029,-123.076625
50429,Vancouver,7,31,8,28,5,27,2022,49.282672,-123.081697
50427,Vancouver,99,371,75,221,58,214,2022,49.282067,-123.091063
50426,Vancouver,84,330,73,284,74,252,2022,49.282136,-123.094846
50425,Vancouver,451,386,366,332,314,270,2022,49.282203,-123.098943
50410,Vancouver,49,71,65,56,34,57,2022,49.282211,-123.109799
50403,Vancouver,551,250,618,270,474,195,2022,49.266843,-123.137905
50401,Vancouver,533,303,500,399,340,288,2022,49.267853,-123.140145
50400,Vancouver,811,301,743,260,442,206,2022,49.26793,-123.145082
50398,Vancouver,48,29,58,31,39,39,2022,49.268041,-123.152371
50397,Vancouver,121,97,119,87,82,89,2022,49.268115,-123.156884
50396,Vancouver,242,230,232,233,203,177,2022,49.268188,-123.159306
50394,Vancouver,148,81,152,58,89,60,2022,49.268236,-123.164123
50393,Vancouver,526,404,425,281,273,193,2022,49.268274,-123.167779
50389,Vancouver,146,75,131,55,108,47,2022,49.268471,-123.181214
50354,Vancouver,646,526,576,467,395,372,2022,49.268538,-123.185205
50352,Vancouver,56,25,61,31,59,20,2022,49.26852,-123.190183
50350,Vancouver,173,41,196,69,153,57,2022,49.268679,-123.197617
50349,Vancouver,41,41,33,26,25,21,2022,49.268907,-123.2064
50347,Vancouver,138,97,87,44,53,23,2022,49.268974,-123.21149
50273,UBC/UEL,10,0,16,15,12,8,2022,49.265243,-123.21585
50272,Vancouver,41,64,36,46,29,34,2022,49.264289,-123.215067
50271,UBC/UEL,70,21,51,18,44,16,2022,49.263486,-123.229095
50270,UBC/UEL,136,74,229,46,150,30,2022,49.265327,-123.235217
50268,UBC/UEL,1563,114,1267,78,884,49,2022,49.266827,-123.241849
50229,Vancouver,1171,433,1000,397,899,317,2022,49.28081,-123.099812
50220,Vancouver,1535,888,1250,906,1003,713,2022,49.277584,-123.125372
50096,Vancouver,853,927,852,755,749,702,2022,49.284575,-123.114596
50095,Vancouver,754,946,607,731,500,597,2022,49.283818,-123.113429
50094,Vancouver,393,664,498,492,296,444,2022,49.282472,-123.11137
50093,Vancouver,454,737,443,647,377,492,2022,49.28129,-123.108213
50091,Vancouver,376,437,411,459,310,398,2022,49.280707,-123.104998
50036,Vancouver,362,223,314,266,270,168,2022,49.283765,-123.109649
50035,Vancouver,1821,1120,1610,1310,1362,1082,2022,49.284786,-123.111191
50034,Vancouver,100,529,83,442,58,370,2022,49.285553,-123.11335
61338,Vancouver,3051,5409,2401,4426,1956,3693,2022,49.209383,-123.116116
61337,Vancouver,2453,22,2296,16,1821,44,2022,49.209087,-123.116823
59844,Vancouver,173,171,167,184,115,154,2022,49.214623,-123.101909
59843,Vancouver,122,102,104,93,74,79,2022,49.22134,-123.101649
59842,Vancouver,100,45,96,47,63,49,2022,49.228719,-123.101386
59838,Vancouver,18,71,22,68,13,58,2022,49.235131,-123.101698
59837,Vancouver,133,58,144,64,94,45,2022,49.251452,-123.100866
59836,Vancouver,114,59,128,65,84,41,2022,49.253226,-123.100763
59835,Vancouver,146,116,124,120,99,67,2022,49.255006,-123.100984
59583,Vancouver,311,437,215,304,188,243,2022,49.225333,-123.10178
59582,Vancouver,220,145,225,169,147,142,2022,49.258782,-123.100989
59581,Vancouver,178,122,193,149,120,66,2022,49.256943,-123.101068
59538,Vancouver,155,227,135,163,109,165,2022,49.216491,-123.102076
59536,Vancouver,164,250,178,283,147,191,2022,49.245403,-123.101378
59041,Vancouver,269,337,225,302,156,239,2022,49.232735,-123.101636
58307,Vancouver,107,161,97,147,80,96,2022,49.254339,-123.100959
52214,Vancouver,55,124,44,116,38,74,2022,49.212212,-123.110409
52213,Vancouver,171,271,171,259,126,204,2022,49.212459,-123.107012
52212,Vancouver,303,197,253,191,240,126,2022,49.211554,-123.103214
52132,Vancouver,270,165,221,122,221,128,2022,49.21214,-123.106006
52131,Vancouver,211,87,170,88,175,57,2022,49.212198,-123.109277
50852,Vancouver,407,832,389,705,305,599,2022,49.284435,-123.112367
50265,Vancouver,40,299,39,226,35,209,2022,49.211695,-123.101625
50264,Vancouver,0,41,9,28,5,19,2022,49.212975,-123.102245
50263,Vancouver,68,140,71,119,56,87,2022,49.213842,-123.102217
50260,Vancouver,128,177,125,129,122,105,2022,49.218969,-123.102003
50259,Vancouver,67,88,81,60,53,59,2022,49.22075,-123.101949
50258,Vancouver,85,88,87,127,50,56,2022,49.223508,-123.101804
50256,Vancouver,37,98,44,75,32,81,2022,49.228145,-123.101625
50255,Vancouver,35,66,35,56,27,42,2022,49.230612,-123.101591
50250,Vancouver,69,123,52,104,35,77,2022,49.23788,-123.101715
50249,Vancouver,117,143,137,142,85,135,2022,49.240211,-123.101629
50248,Vancouver,64,99,77,96,62,79,2022,49.243003,-123.101498
50246,Vancouver,180,268,143,258,129,188,2022,49.248466,-123.101194
50245,Vancouver,42,135,50,131,47,96,2022,49.250676,-123.101089
50244,Vancouver,67,132,52,145,47,98,2022,49.252395,-123.101095
50242,Vancouver,105,187,92,150,55,126,2022,49.256251,-123.101386
50241,Vancouver,190,191,156,178,153,125,2022,49.258082,-123.101305
50240,Vancouver,194,204,164,214,147,172,2022,49.259888,-123.10127
50236,Vancouver,75,144,58,92,53,74,2022,49.265849,-123.100989
50234,Vancouver,286,257,256,201,192,209,2022,49.270621,-123.100821
50233,Vancouver,2304,1927,2061,1749,1587,1423,2022,49.273072,-123.100189
50232,Vancouver,255,213,253,171,187,160,2022,49.274506,-123.100141
50230,Vancouver,1491,232,1411,250,1056,196,2022,49.279029,-123.099896
50229,Vancouver,1171,433,1000,397,899,317,2022,49.28081,-123.099812
50228,Vancouver,431,186,326,154,280,112,2022,49.282229,-123.099988
50188,Vancouver,167,378,177,355,123,242,2022,49.283085,-123.110279
50187,Vancouver,421,733,423,735,321,558,2022,49.282221,-123.108043
50186,Vancouver,442,758,449,750,354,567,2022,49.281733,-123.105366
50185,Vancouver,185,1231,173,1076,147,885,2022,49.28144,-123.1003
50184,Vancouver,244,1552,238,1413,199,1006,2022,49.278968,-123.099607
50182,Vancouver,127,170,164,166,129,148,2022,49.275321,-123.099748
50181,Vancouver,1618,2009,1472,1816,1190,1308,2022,49.273395,-123.099831
50180,Vancouver,118,94,120,98,102,79,2022,49.270803,-123.100432
50179,Vancouver,237,355,217,351,158,227,2022,49.269455,-123.100505
50178,Vancouver,237,172,163,101,127,85,2022,49.266719,-123.100662
50177,Vancouver,319,92,298,99,241,67,2022,49.265339,-123.100685
50176,Vancouver,261,450,253,400,173,321,2022,49.263233,-123.100792
50174,Vancouver,133,134,183,127,117,91,2022,49.260528,-123.100888
50169,Vancouver,275,192,297,204,198,125,2022,49.249121,-123.100891
50167,Vancouver,155,154,168,195,124,122,2022,49.245968,-123.101101
50166,Vancouver,126,112,154,127,88,93,2022,49.243554,-123.101232
50165,Vancouver,124,100,154,99,94,68,2022,49.241308,-123.101314
50163,Vancouver,112,84,104,64,73,52,2022,49.23802,-123.101502
50162,Vancouver,60,23,83,24,50,8,2022,49.235734,-123.101505
50155,Vancouver,357,282,345,221,230,166,2022,49.233445,-123.101394
50154,Vancouver,58,51,85,43,45,35,2022,49.231454,-123.101306
50151,Vancouver,437,302,351,255,263,208,2022,49.225975,-123.10147
50150,Vancouver,114,107,119,82,61,62,2022,49.223638,-123.101593
50147,Vancouver,189,185,165,160,115,145,2022,49.218788,-123.10174
50146,Vancouver,223,210,170,191,138,174,2022,49.217015,-123.101819
50142,Vancouver,383,135,311,136,311,110,2022,49.211565,-123.102035
50036,Vancouver,362,223,314,266,270,168,2022,49.283765,-123.109649
50035,Vancouver,1821,1120,1610,1310,1362,1082,2022,49.284786,-123.111191
61809,Vancouver,48,26,34,23,25,18,2022,49.272658,-123.163937
61759,Vancouver,507,404,215,213,191,151,2022,49.280758,-123.126431
60359,Vancouver,68,8,55,6,50,7,2022,49.260225,-123.168239
60269,Vancouver,36,228,26,284,21,184,2022,49.282359,-123.124019
60197,Vancouver,248,399,221,312,174,242,2022,49.277837,-123.131265
51842,Vancouver,409,399,305,330,222,252,2022,49.286899,-123.12119
51368,Vancouver,209,342,217,338,133,256,2022,49.268064,-123.168411
51269,Vancouver,84,13,62,8,53,5,2022,49.253089,-123.167687
51267,Vancouver,86,11,49,9,24,0,2022,49.249455,-123.167732
51266,Vancouver,112,18,79,10,66,7,2022,49.248517,-123.167771
51265,Vancouver,36,11,27,5,23,6,2022,49.249571,-123.1717
51263,Vancouver,55,26,39,18,37,15,2022,49.245547,-123.17011
51261,Vancouver,113,42,103,19,82,17,2022,49.241595,-123.170144
51259,Vancouver,66,12,54,5,46,6,2022,49.237919,-123.170182
50640,Vancouver,535,618,466,555,390,443,2022,49.234593,-123.18575
50375,Vancouver,76,0,57,0,39,0,2022,49.234696,-123.178303
50374,Vancouver,67,5,67,0,55,0,2022,49.234687,-123.181639
50297,Vancouver,5,99,0,96,0,80,2022,49.234836,-123.182546
50296,Vancouver,0,57,0,43,0,34,2022,49.234831,-123.179103
50293,Vancouver,7,129,14,137,8,91,2022,49.234819,-123.170795
50130,Vancouver,7,70,0,60,0,47,2022,49.238254,-123.170377
50128,Vancouver,36,136,22,116,14,75,2022,49.241997,-123.170345
50126,Vancouver,20,76,17,59,15,44,2022,49.245848,-123.170308
50124,Vancouver,10,46,9,38,6,31,2022,49.249603,-123.171914
50123,Vancouver,76,87,39,75,29,58,2022,49.249627,-123.170432
50122,Vancouver,20,29,8,29,6,15,2022,49.248641,-123.168633
50121,Vancouver,24,146,13,101,9,72,2022,49.249858,-123.167913
50119,Vancouver,12,85,12,63,7,52,2022,49.253375,-123.16787
50116,Vancouver,54,57,23,50,17,38,2022,49.257904,-123.17458
50115,Vancouver,43,36,15,24,14,24,2022,49.257839,-123.170777
50114,Vancouver,112,204,54,206,42,156,2022,49.257816,-123.168896
50113,Vancouver,83,152,83,120,66,90,2022,49.257315,-123.168496
50112,Vancouver,12,78,11,64,0,57,2022,49.260226,-123.168421
50111,Vancouver,30,100,15,65,7,51,2022,49.261885,-123.16835
50110,Vancouver,366,783,314,695,222,498,2022,49.264268,-123.168373
50109,Vancouver,26,78,11,71,15,56,2022,49.266274,-123.168483
50107,Vancouver,25,69,12,46,13,44,2022,49.270753,-123.168323
50106,Vancouver,19,38,17,28,11,23,2022,49.272799,-123.164636
50105,Vancouver,74,157,61,142,53,126,2022,49.272731,-123.160216
50104,Vancouver,127,236,186,326,155,286,2022,49.272645,-123.155439
50103,Vancouver,73,173,63,217,57,185,2022,49.272608,-123.152989
50101,Vancouver,161,550,120,436,85,316,2022,49.272539,-123.148302
50098,Vancouver,411,714,407,591,307,439,2022,49.278914,-123.12964
50075,Vancouver,650,740,426,461,332,343,2022,49.278885,-123.129252
50073,Vancouver,357,278,250,228,178,161,2022,49.277226,-123.131783
50072,Vancouver,638,155,498,101,385,86,2022,49.272368,-123.14734
